CITY,LAT,LON,F2011,F2012,F2013,F2014,F2015,F2016,M2011,M2012,M2013,M2014,M2015,M2016
Boston,42.360082,-71.05888,16.7,15.6,15.7,17,17.4,17.32,22.4,26,24.8,23.6,24.4,24.72
Chicago,41.878114,-87.629798,20.8,21.6,18.1,17.46666667,16.11666667,14.76666667,28.1,30.5,26.7,27.03333333,26.33333333,25.63333333
Columbus,39.961176,-82.998794,28.2,28.4,29.5,26.4,27.6,20.2,39.8,40.8,41.7,47.1,49.2,42.7
Denver,39.739236,-104.990251,14.8,18.9,15.3,13.33,17.85,17.87,26.7,22.8,26.3,30.76,25.35,25.6
Kansas City,39.099727,-94.578567,17,18.1,22.9,21.3,14.7,11.1,26.5,27.6,36.7,25.8,26,14
Las Vegas,36.169941,-115.13983,11.1,9.9,9.9,9.1,8.5,7.9,14,17.6,13.7,14.8,14.65,14.5
Long Beach,33.77005,-118.193739,12.8,11.7,14.1,18,18.65,20.45,25,26.3,19.8,14,11.4,7.45
Miami,25.76168,-80.19179,16.1,18.3,17.3,17.3,17.9,18.16,24.4,26.1,24.1,26.3,26.15,26.52
Minneapolis,44.977753,-93.265011,14.6,21,26.1,10.5,16.25,15.53,23.6,37.7,31.6,29.6,33.6,34.79
New York City,40.712775,-74.005973,18.2,17.8,18,16.8,16.9,16.46,24.2,24.7,24.3,23.8,24.2,23.97
Phoenix,33.448377,-112.074037,20.9,22,19.1,18.86666667,17.96666667,17.06666667,20.8,22.1,21.1,21.63333333,21.78333333,21.93333333
Portland,45.523062,-122.676482,18.5,18.3,19.7,19.3,23.6,23.24,35,32.6,33.1,27.4,30.6,27.54
San Antonio,29.424122,-98.493628,24.2,21.5,21.1,19.16666667,17.61666667,16.06666667,34.4,23.9,24.2,17.3,12.2,7.1
San Jose,37.338208,-121.886329,22.4,25.6,26.7,29.2,31.35,33.5,37.7,36.9,35.2,34.1,32.85,31.6
Seattle,47.606209,-122.332071,17.8,16,13.6,15.9,14.7,13.71,26.4,26,24.4,22.9,14.7,14.93
